Time (Sec),Power(W),Growth Rate (gm/sec),No. of net impurity atoms added,Number of net impurity of previous crystal added,Output net impurity,Detector grade portion (%),SheetName
16560.0,8640.0,1.08091787439614,0.0,1380390000000000.0,-63087320604.5717,21.83,Crystal 5
16992.0,8640.0,0.617937853107345,0.0,1380390000000000.0,-74779708143.5191,21.83,Crystal 5
17856.0,8880.0,1.103270609319,0.0,1380390000000000.0,-107691067864.037,21.83,Crystal 5
18864.0,9160.0,1.21925360474979,0.0,1380390000000000.0,-183574352768.832,21.83,Crystal 5
19584.0,9360.0,0.786356209150327,0.0,1380390000000000.0,-290562414018.017,21.83,Crystal 5
20448.0,9360.0,0.743348982785603,0.0,1380390000000000.0,-524092179565.603,21.83,Crystal 5
21168.0,9360.0,0.434618291761149,0.0,1380390000000000.0,-835902727777.919,21.83,Crystal 5
22032.0,9360.0,0.394880174291939,0.0,1380390000000000.0,-1483176668883.89,21.83,Crystal 5
23472.0,9360.0,0.673142467620995,0.0,1380390000000000.0,-21899500494137.2,21.83,Crystal 5
0.0,8580.0,0.0,-1358460000000000.0,865319548872180.0,385397213180.35,10.6,Crystal 6
450.0,8570.0,0.184444444444444,-1358460000000000.0,865319548872180.0,384738572872.214,10.6,Crystal 6
900.0,8560.0,0.0866666666666667,-1358460000000000.0,865319548872180.0,384120503130.283,10.6,Crystal 6
1125.0,8540.0,0.04,-1358460000000000.0,865319548872180.0,383764317807.777,10.6,Crystal 6
1350.0,8530.0,0.0318518518518519,-1358460000000000.0,865319548872180.0,383424231647.19700,10.6,Crystal 6
2520.0,8520.0,0.0226190476190476,-1358460000000000.0,865319548872180.0,382973824220.0,10.6,Crystal 6
2880.0,8500.0,0.028125,-1358460000000000.0,865319548872180.0,382334563996.686,10.6,Crystal 6
3600.0,8480.0,0.0647222222222222,-1358460000000000.0,865319548872180.0,380500881183.318,10.6,Crystal 6
4320.0,8480.0,0.0837962962962963,-1358460000000000.0,865319548872180.0,377667171692.005,10.6,Crystal 6
5040.0,8470.0,0.114880952380952,-1358460000000000.0,865319548872180.0,373172992124.927,10.6,Crystal 6
5760.0,8460.0,0.15625,-1358460000000000.0,865319548872180.0,366279649992.276,10.6,Crystal 6
6480.0,8460.0,0.320679012345679,-1358460000000000.0,865319548872180.0,350785646294.31,10.6,Crystal 6
7200.0,8460.0,0.212083333333333,-1358460000000000.0,865319548872180.0,339766782185.919,10.6,Crystal 6
5918.4,8480.0,-0.60911732900784,-1358460000000000.0,865319548872180.0,366279649992.276,10.6,Crystal 6
6638.4,8480.0,0.0588997348758737,-1358460000000000.0,865319548872180.0,363319592938.616,10.6,Crystal 6
7358.4,8480.0,0.0990704500978473,-1358460000000000.0,865319548872180.0,357856290225.926,10.6,Crystal 6
8078.4,8480.0,0.220340661517132,-1358460000000000.0,865319548872180.0,344816041192.448,10.6,Crystal 6
8640.0,8480.0,0.188657407407407,-1358460000000000.0,865319548872180.0,333239581679.221,10.6,Crystal 6
9360.0,8480.0,0.305555555555555,-1358460000000000.0,865319548872180.0,313743621071.467,10.6,Crystal 6
10512.0,8480.0,0.736301369863014,-1358460000000000.0,865319548872180.0,265875406673.569,10.6,Crystal 6
11088.0,8600.0,0.482503607503608,-1358460000000000.0,865319548872180.0,236628214935.65,10.6,Crystal 6
11376.0,8600.0,0.492264416315049,-1358460000000000.0,865319548872180.0,209054536243.506,10.6,Crystal 6
12096.0,8580.0,1.06646825396825,-1358460000000000.0,865319548872180.0,155929510974.913,10.6,Crystal 6
12960.0,8580.0,1.26543209876543,-1358460000000000.0,865319548872180.0,154918738400.804,10.6,Crystal 6
13680.0,8580.0,1.21345029239766,-1358460000000000.0,865319548872180.0,137645917439.141,10.6,Crystal 6
14400.0,8580.0,1.24305555555556,-1358460000000000.0,865319548872180.0,120260909578.21,10.6,Crystal 6
15998.4,8580.0,2.61901190119012,-1358460000000000.0,865319548872180.0,-21489854401.6684,10.6,Crystal 6
17424.0,8580.0,2.07759412304867,-1358460000000000.0,865319548872180.0,-164520658743.076,10.6,Crystal 6
18864.0,8580.0,1.82888040712468,-1358460000000000.0,865319548872180.0,-1652719024070.5,10.6,Crystal 6
20160.0,8580.0,1.52777777777778,-1358460000000000.0,865319548872180.0,-5455756780650.71,10.6,Crystal 6
21456.0,8580.0,1.45413870246085,-1358460000000000.0,865319548872180.0,-6351500094561.65,10.6,Crystal 6
21600.0,8620.0,0.143518518518519,-1358460000000000.0,865319548872180.0,-6463251203636.64,10.6,Crystal 6
22320.0,8820.0,0.851254480286738,-1358460000000000.0,865319548872180.0,-7284684957586.04,10.6,Crystal 6
23040.0,9020.0,0.911458333333333,-1358460000000000.0,865319548872180.0,-8615174375466.58,10.6,Crystal 6
24019.2,9292.0,1.53627098321343,-1358460000000000.0,865319548872180.0,-14231910382615.1,10.6,Crystal 6
24235.2,9352.0,0.742721330956625,-1358460000000000.0,865319548872180.0,-26197060453539.1,10.6,Crystal 6
24681.6,9352.0,0.20258005963957,-1358460000000000.0,865319548872180.0,-39247378997480.1,10.6,Crystal 6
25056.0,9352.0,0.207535121328225,-1358460000000000.0,865319548872180.0,-52519753413868.3,10.6,Crystal 6
0.0,8760.0,0.0,141503759398496.0,-79699248120301.0,462357000000.0,1.25,Crystal 7
450.0,8760.0,0.0511111111111111,141503759398496.0,-79699248120301.0,462375000000.0,1.25,Crystal 7
900.0,8760.0,0.0133333333333333,141503759398496.0,-79699248120301.0,462385000000.0,1.25,Crystal 7
2160.0,8740.0,0.012037037037037,141503759398496.0,-79699248120301.0,462393000000.0,1.25,Crystal 7
2880.0,8720.0,0.0159722222222222,141503759398496.0,-79699248120301.0,462356000000.0,1.25,Crystal 7
3600.0,8700.0,0.0180555555555556,141503759398496.0,-79699248120301.0,462302000000.0,1.25,Crystal 7
4320.0,8680.0,0.0541666666666667,141503759398496.0,-79699248120301.0,462111000000.0,1.25,Crystal 7
5040.0,8660.0,0.128571428571429,141503759398496.0,-79699248120301.0,461579000000.0,1.25,Crystal 7
5760.0,8640.0,0.212673611111111,141503759398496.0,-79699248120301.0,460573000000.0,1.25,Crystal 7
6480.0,8620.0,0.322839506172839,141503759398496.0,-79699248120301.0,458854000000.0,1.25,Crystal 7
7200.0,8600.0,0.489166666666667,141503759398496.0,-79699248120301.0,455953000000.0,1.25,Crystal 7
7920.0,8580.0,0.73989898989899,141503759398496.0,-79699248120301.0,451109000000.0,1.25,Crystal 7
8640.0,8580.0,1.08796296296296,141503759398496.0,-79699248120301.0,443291000000.0,1.25,Crystal 7
8928.0,8700.0,0.436827956989247,141503759398496.0,-79699248120301.0,440030000000.0,1.25,Crystal 7
9648.0,8700.0,1.67910447761194,141503759398496.0,-79699248120301.0,426371000000.0,1.25,Crystal 7
9936.0,8730.0,0.684380032206119,141503759398496.0,-79699248120301.0,405108000000.0,1.25,Crystal 7
10800.0,8730.0,2.06481481481482,141503759398496.0,-79699248120301.0,353692000000.0,1.25,Crystal 7
14400.0,8730.0,6.70138888888889,141503759398496.0,-79699248120301.0,-252555000000.0,1.25,Crystal 7
15840.0,8730.0,1.96969696969697,141503759398496.0,-79699248120301.0,-378310000000.0,1.25,Crystal 7
16804.8,8730.0,1.02351709035514,141503759398496.0,-79699248120301.0,-486458000000.0,1.25,Crystal 7
17913.6,8730.0,1.04948195784209,141503759398496.0,-79699248120301.0,-489000000000.0,1.25,Crystal 7
19756.8,8730.0,1.44760285066408,141503759398496.0,-79699248120301.0,-583000000000.0,1.25,Crystal 7
20160.0,8730.0,0.302579365079365,141503759398496.0,-79699248120301.0,-608000000000.0,1.25,Crystal 7
20880.0,8730.0,0.541187739463602,141503759398496.0,-79699248120301.0,-661000000000.0,1.25,Crystal 7
21355.2,8730.0,0.374616018580955,141503759398496.0,-79699248120301.0,-706000000000.0,1.25,Crystal 7
21600.0,8798.0,0.231481481481481,141503759398496.0,-79699248120301.0,-737000000000.0,1.25,Crystal 7
0.0,8780.0,0.0,45394736842105.0,1372180000000000.0,829215130248.681,2.42,Crystal 8
450.0,8780.0,0.26888889,45394736842105.0,1372180000000000.0,828424725410.739,2.42,Crystal 8
900.0,8780.0,0.06888889,45394736842105.0,1372180000000000.0,827770294708.568,2.42,Crystal 8
1350.0,8760.0,0.05777778,45394736842105.0,1372180000000000.0,826947571559.431,2.42,Crystal 8
2880.0,8740.0,0.03611111,45394736842105.0,1372180000000000.0,825851634391.411,2.42,Crystal 8
3600.0,8720.0,0.04055556,45394736842105.0,1372180000000000.0,824315086002.127,2.42,Crystal 8
4320.0,8700.0,0.03773148,45394736842105.0,1372180000000000.0,822602352064.725,2.42,Crystal 8
5040.0,8680.0,0.06230159,45394736842105.0,1372180000000000.0,819311073046.291,2.42,Crystal 8
5760.0,8660.0,0.07986111,45394736842105.0,1372180000000000.0,814508656914.111,2.42,Crystal 8
6480.0,8640.0,0.09814815,45394736842105.0,1372180000000000.0,807906251382.354,2.42,Crystal 8
7200.0,8620.0,0.15819444,45394736842105.0,1372180000000000.0,796190136053.331,2.42,Crystal 8
7920.0,8600.0,0.16414141,45394736842105.0,1372180000000000.0,782985944792.979,2.42,Crystal 8
8640.0,8600.0,0.30555556,45394736842105.0,1372180000000000.0,756715150263.236,2.42,Crystal 8
9086.4,8600.0,0.18269061,45394736842105.0,1372180000000000.0,740564124669.562,2.42,Crystal 8
10080.0,8580.0,0.31746032,45394736842105.0,1372180000000000.0,710214975401.681,2.42,Crystal 8
10800.0,8560.0,0.46296296,45394736842105.0,1372180000000000.0,664810913498.437,2.42,Crystal 8
11520.0,8560.0,0.67708333,45394736842105.0,1372180000000000.0,598682867315.226,2.42,Crystal 8
12096.0,8660.0,0.67791005,45394736842105.0,1372180000000000.0,534996033032.58,2.42,Crystal 8
12960.0,8700.0,1.53549383,45394736842105.0,1372180000000000.0,493000000000.0,2.42,Crystal 8
13680.0,8700.0,1.53508772,45394736842105.0,1372180000000000.0,493000000000.0,2.42,Crystal 8
15120.0,8700.0,2.75132275,45394736842105.0,1372180000000000.0,493000000000.0,2.42,Crystal 8
16560.0,8700.0,2.57850242,45394736842105.0,1372180000000000.0,493000000000.0,2.42,Crystal 8
17280.0,8700.0,1.15162037,45394736842105.0,1372180000000000.0,-953973920376.547,2.42,Crystal 8
18720.0,8700.0,1.90705128,45394736842105.0,1372180000000000.0,-2828931921674.65,2.42,Crystal 8
19584.0,8700.0,0.95486111,45394736842105.0,1372180000000000.0,-3136469686295.84,2.42,Crystal 8
20736.0,8700.0,1.07542438,45394736842105.0,1372180000000000.0,-3488774750035.46,2.42,Crystal 8
